,ulasan,label
25,"Belanja di ol.shopee terpercaya, belanja lewat ol shopee ini tidak pernah mengecewakan.",1
26,Shope tuh mengerti segala kebutuhan saya jadi makin cinta deh ama shope buat kalian buktikan sendiri 🤗😍😍😍,1
27,Bagus sekali dan memuaskan setiap pembelian barang di shopee. Terimakasih shofee..,1
28,Bisa ga sih min penjual2 yg suka menipu dlm pengiriman jumlah barang di block gt biar pembeli ga byk yg kecewa,1
29,"Belanja semakin mudah ,tinggal klik aja barang yg kita inginkan, semua ada di shopee😘😘😘😅shopee slalu di hati❤",1
30,Kenapa saya kasih bintang lima karna saya hampir setengah taun pake aplikasi shopee rasa nya sangat puas dan aman aman aja lah sejauh ini... Smoga berkah aja buat smuanya... Dan dilancarkan seluruh orderan atau bisnis yg ada di Shopee... Aamiinn🙏,1
31,Ok sih tpi kenapa ya limit shoppy paylater saya blm balik utuh padahal sudah di lunasi semua sebelum jatuh tempo,1
32,"Keren,cepat,sangat membantu... Hanya minus banyak di salah gunakan untuk penipuan yg mengatas namakan shoppe,coz saya hampir kena penipuan tsb. Overall apk ini sangat membantu,untuk kedepannya klo bisa tambahkan jasa rekber untuk bisa jual beli dari luar apk.",1
33,Aplikasi shopee ini sangat bagus gara2 saya dapat uang shopeepay 30k gratis aku gak tau garansinya sampai mana cepat downoad shopee nanti telat gak bisa dapat uang saku wkwkwkwkwkwkwkwkwk,1
34,"Banyak membantu tentunya saat corona ini,hanya saja harus teliti lg utk seller2 agar gak sembarangan jual produk langsung sanksi",1
35,"Jempol 5 pokoknya.hampir semua kebutuhan saya beli d shopee,cuma kadang ada yg sdikit buat aku kesel,ketika sayat lihat2 produk kemudian liat ongkir itu terlihat cuma 17.000(misal) pokoke murah lah kayak cuma tarif 1kg doank. tapi ketika udah mau chekout itu brubah jadi 120.000. Padahal calon pembeli itu ketika mau beli brang pasti bandinging dr toko mana aja dengan meng-akumulasi sama ongkirnya.jadi menurut saya,ke-akurasinya ongkir ketika produk baru di lihat gak tepat.bnyak yg melenceng.",1
36,Kenapa sih app Shopee ini....!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Aku tu jadi ketagihan belanaja terus tauu..... Please banyakin gratis ongkir yahhh 🙏🏻 ❤️❤️❤️,1
37,Terima Kasih Shopee Allhamdulillah Sejak download apk ini sangat bermanfaat untuk berjualan atau Berbelanja :),1
38,Kenapa sy tidak bisa melakukan Retur barang pdhl terjadi kesalahan kirim dr pihak Toko. Sy sudah email pihak shopee. Mohon segera ditindaklanjuti,1
39,Bisa ga sih min penjual2 yg suka menipu dlm pengiriman jumlah barang di block gt biar pembeli ga byk yg kecewa,1
40,Shopee mantap tapi belum bisa membantu menambah limit pinjmaman. Padahal saya sudah berusaha...,1
41,"Aplikasi ini sangat membantu dlm kebutuhan kita, mudah dan gc ribet.. Mantap lah pokoknya",1
42,Sudah lama saya pakai shoope mau tanya setiap toko ada tulisan potongan. 20.000 min belanja 0 kenapa ya gk bosa dipakai,1
43,"Sekarang aplikasi semakin bagus tidak lag dan banyak promonya , udh gitu ngasih cicilan dan pinjaman . Ah baiknya aplikasi ini",1
44,"Shopee sekarang gak kaya shopee dulu, sekarang udah jarang dapet gratis ongkir, harus minimum pembelian 50rbu baru dapet gratis ongkir. Mau belanja banyak nunggu sebulan sekali nunggu tiap tanggal&bulan sama. Semoga shopee kedepanya lebih memberikan banyak voucher gratis ongkir lagi tiap hari yaa.",1
45,"Susah daftar shopee ... pengen belanja online sendiri, biar gk ribet gmn sih mbak,,,???",1
46,"Alhamdulillah selama ini shopee sdh bnyak membantu saya utk belanja online , semoga makin keren lg kedepannya ,,",1
47,"belanja di shopee tidak sia sia semakin banyak kita transaksi semakin banyak juga diskon2 nya.spaylater sm spinjam sangat membantu kita saat keadaan pandemi,semoga limit ku bs di tambah lagi,kekurangan nya hanya di ongkir..mahal mahal ongkir nya.",1
48,Sejauh ini selalu puas dengan pelayanan shopee.. terimaksih telah memudahkan utk berbelanja..,1
49,Semua org juga tau kali kalo shopee bagus banget. Tapi gratis ongkir untuk luar pulau jawa (khusus yg tinggal di kabupaten luar jawa) kasih dispensasi lebih dong. Krn katanya gratis ongkir tp tetep aja bayar stengah harga ongkir :( itumah gak free namanya. Kasihanilah kami yg di kabupaten ini,1
50,Shopee untuk ku memang paling murah sedunia nggak kayak toko diluar sana pasti tidak akan murah seperti shopee 4.4 mega,1
51,"Menurut sy ...dn apa yg sy rasa.....kn Shopee twrbaik dr apl lain ny.....skrng sy nongkyny d shopee.....krn shopee ada via cod ny....soal respond penjual sangt"" baik hmpir smua penjual...cmn kdang ad yg lm respondny ada yg cpt...sy si mklumin itu...... Pengiriman....sangt"" cpt...pokony blnj d shopee itu g pernh kecewa....mnrt sy y....bgs shopee itu.......sukses trus untk shopee.......sy sih sk bgttt blnja d shopee love sophee.....😎😎😍",1
52,Marketplace yg Terlama n paling Paham pengunaannya...Semoga Semakin Berkualitas dan tidak ada lagi Penjual yg tidak bertanggung jawab,1
53,"Setiap pembelian d shopee, respon cpt, dan sesuai pesanan👍👍...susses selalu buat Shopee",1
54,Shopee tambahin dong bantuan teman penyiraman dari 15 orang jadi 20 orang..khasihan teman yang sdh aktif 15 orang...ehhh ada orang yang laen yang nyiram tanaman kita..malah tak bisa membalas balik siraaammm..khan khasihaaann😭😭😭😭😭😭😭😭😭,1
55,"Harganya murah2 tp kualitas ga murahan,,, dpt gratisan ongkir terus,,,👍",1
56,"Selalu puas belanja dishopee...pengen blanja lg...lg...lg...buka hp, yg diliat shopee...👍👍👍",1
57,"Buat semua pelayanannya bagus sih,ok lah pokonya udah hampir 10x pesan di soopee ga pernah kecewa",1
58,"Belanja bulanan hal biasa bagi ibu rumahtangga,terkadang menyenangkan tp adakalanya membingungkan karena membutuhkan waktu,tenaga dn pikiran,tp alhamdulilah dgn adanya shopee sy bnr2 merasa terbantu terutama dlm tenaga apalagi dlm kondisi covid seperti ini..rasa khawatir kt untuk bepergian sangat tinggi, tp Alhamdulillah ..dgn adanya shopee kt ckp ""klik' sj.inshaalloh kebutuhan kt tercukupi..terimakasih shopee. Semoga kedepan makin bertambah voucher nya.",1
59,Shopee sangat membantu pokoknya is the best lah!!! Sukses selalu shopee.,1
60,Baru mulai jualan sdh banyak yg respon baik harga maupun ongkirnya..sipp ..kualitas barang lebih oke ya,1
61,"sepertinya tidak perlu keluar rumah, krn semua kebutuhan tersedia disini. shopee is the Best! ❤",1
62,Oke sekarang saya kasih bintang 5 karna pelayanan semakin diperbaiki terima kasih shoope karna mau mendengarkan konsumen,1
63,"No. 1 Online Shoping di Indonesia. Memberikan Pelayanan Terbaik , Service Harga Terbaik & Pengiriman yg Sangat Cepat. Terima Kasih Shopee. Berikan selalu Kepuasan & Pelayanan Terbaik kepada Konsumen, God Job !!!",1
64,"Semenjak pake shopee, sekarang kalau mau belanja online ga ribet ribet lagi, apalagi kalau gratis ongkir jadi tambah semangat dong, ditambah lagi kalau pas promo☺️ terimakasih shopee🙏",1
65,"Harga oke banyak free ongkir,barang selalu sesuai pesanan,sukses selalu buat shopee.",1
66,Belanja gampang dan tdk ribet...banyak diskon lagi...itu yg aku suka...,1
67,"Selama saya belanja di shopee barang yg datang belum pernah mengecewakan dan sesuai dg gambar yg di aplikasi,dan toko selalu menanggapi semua chat saya sebagai konsumen dan pelanggan. Sukses selalu buat shopee",1
68,Bagus sangat lah bagus bisa berbelanja sampe dulu nya sering beli di Tokopedia sekarang sering banget beli di shope makasih shope....❤️😁,1
69,"Sangat membantu sekali, Lebih puas dan harga terjangkau, Lebih komplit dan nyaman",1
70,Yo dowlond gak dowlond nyesel nanti loo!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
71,"Pokoknya asyik punya aplikasi Shopee walau ga belanja, tapi bisa cuci mata dan tunggu harga promo & discont.. :-)",1
72,"Akun shopee aku gak bisa buat pesanan,,kenapa ya ka? Adakah solusinya?",1
73,"Harga murah bersaing, kalau ada toko yg nakal shoppe sangat baik menanganinya, asalkan buktinya bagus",1
74,Aplikasi ini sangat burik tapi sangat bagus selamat mescoba aku dan adik ku blalalalalal canda ✌ maapin ya,1
75,"Lumayan👍shopee terbaik dlm solusi buat belanja online,sy coba aplikasi lainya tapi masih kalah sama shopee😊😊😊👍👍,tapi sayang permainan shopee chandy",1
76,"Bagus memang top banget shopee itu online shop paling bagus sedunia, pokoknya wajib baget belanja di shopee produk nya lengkap banget banyak flAsh sale dan banyak voucher gratis ongkir min belanja RP 0 rupiah nyesel deh kalo gak belanja di shopee pasti akan nyesel dijamin nyesel..........................👍💯",1
77,"Aplikasi belanja online yg oke bgt nih...suka bgt dgn promo2nya, cashback nya banyak, gratis ongkir dll pkknya seruuu abis👍👍👍",1
78,"Tolong dong, kalo beli pulsa seharusnya bisa pake shopee pay later juga",1
79,aplikasinya sangat bagus... hanya d shopee sy slalu blanja online.. makasih shopee...siip lah....,1
80,"Kalau mau cari2 barang ga susah,mudah cara ordernya..puaslah selama ini pakai aplikasi shopee...the best",1
81,keren aplksinya. tapi kl bisa ditingkatkan lg. soalnya. kl bnyk yg online suka lama loading. apalagi pas ada promo terbatas waktu,1
82,"Alhamdulillah dari pertama makek Sampek sekarang belum perah ada kendala sama sekali,sangat membantu saya sekali",1
83,"dri dlu blm pernah ngerasaiin kecewa belanja di shope, sistem dan kemanan nya bagus bgt, tanggung jwb nyaa shope jg gde bgt :) semoga semkin berproses jdi lbih baik lgi yaa",1
84,"Sangat Membantu dan Bermanfaat, Terima kasih banyak Shopee. Terbaik Sepanjang masa God Bless Us",1
85,Membantu dlm belanja tanpa harus ribet utk keluar rumah... Bravo Shopee!!!,1
86,"Aplikasi apa ini!jelek banget!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!tapi bohong hayuk,apk ini bagus untuk belanja online,tapi ongkirnya yg tidak tanggung karna mahal,",1
87,"Menggunakan shoppe lebih mudah di banding dgn apk2 lainnya , belanja lbih muda dan bnyk grtis ongkir nya good job 😍",1
88,Belanja online aman nyaman. Banyak discon. gaperlu ribet panas² keluar rumah.cukup pake hp pilih barang cari discon + gratis ongkir + nya lagi dapet casbek mantap jiwa...😉,1
89,Aplikasinya bagus sekali saya senang belanja di shopee di sana murah meriah ada yang gratis ongkir dan saya puas belanja di shopee,1
90,Hasil dari investor bisa dengan mudah buat belanja online yang bermanfaat karena applikasi pluang ini sifatnya juga online sehingga next step insyaallah mempermudah pemindahan dana dari pluang terkoneksi dengan market place yang tersedia.,1
91,"Aplikasinya mantap. Respon penjualnya bagus"". Promo sangat menarik sekali.",1
92,"Cukup membantu sekali belanja d sini, cari apa aja ada, tdk usah repot2 keluan, terima kasih Shopee",1
93,"Sangat membantu untuk memenuhi kebutuhan sandang,pangan,maupun papan lengkap bangettt",1
94,dengan ada y aplikasi shopee ini Sangat membantu saya dan lebih mudah untuk membeli apa yang kt inginkan trimakasih shopee,1
95,Aplikasi.a udh di update... Tp qo shoppe food.a masi ga ada yah....???,1
96,Tambah lagi jadi bintang 5 karna vocer gratis ongkir nya mulai bisa tiap hari lagi.. . gitu donk.. Kan aku droppship juga jadi butuh banget gratis ongkir nya.. . tingkat kan terus ya.. Cashnack juga banyakin.. 👍👍👍,1
97,Hihihi jelek i aplikasi gak guna¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!??!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ngabisin duit gua aja gara gara sering liat barang bagus langsung i beli..... banyak kin gratis ongkir nya ya,1
98,Perbanyak gratis ongkir lagi.. trima kasih shoppe aplikasi paling rekomended.. untuk persoalan belanja online,1
99,Alhamdulillah selama order di shopee ga ada masalah sedikit pun semoga kedepanya semakin berinovasi menjadi lebih baik lagi Aamiin,1
100,sangat bagus sekali aplikasi shopee ini👏👏 di sini saya bisa belanja barang barang kesukaan saya dan ga pernah bosen buat belanja hehe,1
101,belanja di shopee ga pernah dapet barang zonk.... jadi saya gunakan sehari hari untuk belanja karena aplksi ini sangat terpercaya.,1
102,Tempat belanja paling aman.. paling nyaman... dan aku ga ada belanja online selain dr aplikasi shopee..,1
103,"Kami sangat Setuju dengan petunjuk serta ulasan2 yang diberikan kepada kami terima kasih,",1
104,Shopiee sangat membantuku dalam berbelanja apalagi dimasa pandemi ini tingkatkan terus pelayannya agar lebih memuaskan konsumen sukses buat shopiee,1
105,Selama ini asyik aja belanja di shopee..selain itu jg ada game menarik pas buat lg waktu senggang,1
106,"Alhamdllh,,, belanja dishopee sesuai dgn yg diinginkan. Terima kasih bnyak.",1
107,"Haii saya pengguna shopee dan saya sangat suka aplikasi nya,ohh iya Skali Skali yang jadi iklan nya red velvet dongg jangan blackpink mulu:(",1
108,"Senang belanja di shoppe pelayanan adminya juga OK bantu saya waktu ada kendala barang belum sampai tombol terima barang sudah seakan saya terima barang, lalu saya minta bantuan admin shoppe lewat chat pesan di fb nya shoppe di layani dengan baik akhirnya dipulihkan tombol tekan diubah jadi status saya belum terima barang . Yang saya heran kenapa tombol bisa berubah seakan saya sudah terima barang, padahal belum dan tombol sudah ada yang menekan tombol itu yang saya herankan.",1
109,Parah lemot. Apk toko paling lemot. Udah update men sale. Buka apk lainnya lancar aja. Game bergiga2 lancar. Klo dah buka shopee yaa ampuuun. Tolong segera dibenahi,1
110,"Banyak discount,voucher, promo dan games2nya.rekomen marketplace.👍👍👍",1
111,Selalu puas dgn shopee..mempermudah belanja jd ga hrs keluar ..tinggal duduk manis ...makasihh shopee.sukses trus,1
112,Mungkin emangnya shopee belanja online no 1.jangan di ragukan lagi belanja di shopee.barangnya bagus2.dan harganya yg bersahabat.ayo mari belanja di shopee ajah.,1
113,Saya udah berlangganan di shopee sudah lama.hampir tiap minggu belanja di shopee.alhamdulilah gk pernh di kecewain sama shopee.barang yg saya pesan bagus2 semua.seller di shopee juga ramah2 sama kurirnya juga.harga barangnya juga murah dan kwalitasnya oke2.saya selalu dapat gratis ongkir.jdi gk bikin isi dompetku terkuras habis.belanja di shopee sangt memuaskan bnyak tawaran2 menarik yg bikin kepengin belanja terus 😊mkasih bnyak shopee.semoga selalu berkembang.,1
114,Aplikasinya bagus bgt kalo kita mau belanja online dan waktu pengirimanya juga cepet barng barangnya bagus pula mari kita belanja di shopee,1
115,"Belanja di Shopee aman,tidak takut di tipu.karna uang yang terkirimpun aman,sebelum barang sampai ke pembeli uang tdk lansung ditransfer kepenjual, jadi aman uang kita kalau ada penipuan.trimakasih shopee",1
116,"Diantara semua aplikasi olshop aku paling suka dengan shopee, Barang lengkap, harga terjangkau, produk kualitasnya bagus, dan yang pasti banyak vochernya, trus juga ada gamenya The best lah pokoknya",1
117,Mantap semoga lebih mantap lagi Semoga menyediakan diskon dan ongkos kirim gratis semoga tambah sukses shopee,1
118,"pihak shopee mohon maaf, mau bertanya, saya selalu melakukan pembayaran lewat shopee pay dan kemudian ada nomor telfon masuk mengatasnamakan shopee, katanya untuk konfirmasi shopee pay, apakah itu bena? soalnya nomornya adalah nomor biasa, mohon dijawab",1
119,"ELEH APK APA SIH ???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? EITS TAPI BOONG YUK BURUAN DOWNLOAD, KAREA MEMUDAHKAN KITA UNTUK BELANJA, ZAMAN KAYAK SEKARANG..!",1
120,Kenapa saat pemabayaran pulsa tidak bisa pakai Spaylater lagi? Biasanya juga bisa ini tumben ga bisa?,1
121,"Tolong pihak shopee bertindak adil sebagai org ketiga dalam transaksi Saya sebagai penjual merasa sangat di rugikan,ada banyak org yg pesan se enak jidat,terus cancel( di ajukan pengembalian dana) padahal barang sesuai iklan,barang saya tak sampai"" udh sebulan uang nya pun tak masuk ke saldo saya horor",1
122,"Aplikasi ngelek kali!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ¡!!!!!!!!!!!!!!! ¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Tapi boong , aplikasi Shopee sangat berguna apalagi pas lagi tidak boleh keluar rumah 👍",1
123,"Pelayanan bagus, apalagi bisa COD dan gratis ongkos kirim... Puas belanja di shopee ❤️",1
124,Apk ini sangat buruk!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!tapi boong apk ini bagus kok,1
125,"Alhamdulillah, produk ny tidak mengecewakan, Pengiriman jg cepat, mantaaapp dehhh 😘",1
126,"Aplikasi yg sangat super bermanfaat, apalagi buat profesi ojol.seperti saya ,.",1
127,"Alhamdulillah , saya gak pernah kecewa belanja disini .. omong² bagi shopeepay dong .. heheheee",1
128,"Membantu banget bwt yg ga bs kemana"".. yg sibuk.. asal bs selektif milih barangnya bs dpt yg kualitasnya baik",1
129,saya sukaaaaaaa banget jd aku tambahin lagi bintang nya ini sangt membantu saya belanja olsop krna saya malas keluar rumah dengn aplikasi shopee ini sangt membantu sekali terimakasih shopee,1
130,Hihihi jelek i aplikasi gak guna¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!??!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ngabisin duit gua aja gara gara sering liat barang bagus langsung i beli..... banyak kin gratis ongkir nya ya,1
131,Recomen belanja di sini senang blom pernah dapet barang yang gak sesuai alhamdulilah semua baik baik,1
132,S H O P E E Y mantap & sangat membantu dg bunga yg sangat murah di banding amplikasi sebelah2x .,1
133,"Tolong dong pihak shopee untuk metode pembayaran secara COD di akun ku di aktifkan lagi, baru 2 kali paket yang gagal masa langsung di nonaktifkan saya juga punya alasan kenapa paket nya gagal paket yg pertama sebelum barang dikirm / masih diproses saya sudah mengajukan pembatalan ke pihak toko tapi mereka tidak mennggapi tiba2 paket telah dikirim, terima kasih",1
134,"Smoga kedepannya lebih baik,dan tentunya lbih bnyak free ongkir😂krna ke daerah saya ongkir sngat mahal,bisa lebih mahal dri barang yg mau di beli,..jdi tidak pernah bsa ikutan flash sale krna mahalan ongkir jdinya😁",1
135,"App sangggatttt rekomendasiiiiiii, buat belanja semakin keceeee tanpa harus repot dan susah cari barang",1
136,Dengan bintang 5 ini semoga saya segera mendapatkan limit Spinjam 👍🏻selalu puasa belanja di shopee ❤️,1
137,"Shopee emang the best lah..Barang nya murah²,tapi ongkir nyaa😌tapi the best lah apl nyaa...",1
138,"Aplikasi nya sangat mudah di gunakan, dan ada berbagai macam jenis barang yng di jual, bagi saya ini sangat rekom bngt.",1
139,"Happy banget belanja di shopee,semua serba ada. Bisa menyesuaikan sama bajet kita. Makasih shopee",1
140,mantap sekali aplikasi ini.. sayang untuk pengiriman paket hemat belum ada fitur j&t economy saya harap suatu saat bisa pakai j&t economy,1
141,"Aplikasi ini super murah aku suka.dan yang komen nama annas kalo komentar yang sopan masa manggil""LU gk sopan ikuti peraturan kalo ngomong itu yng sopan",1
142,Tapi knp metode pembayaran akulaku tidak ada di akun shopee saya yaa.. Bingung.. Secara umum puas dgn pelayanan'a..,1
143,Shopee sekrang makin trending di masa kini sukses selalu buat Shopee karna saya juga bekerja di Shopee driver lenhaul Jakarta DC,1
144,Shopee membantu banget apalagi pas lagi pandemi kayak gini memudahkan banget..... Pokoknya sukses selalu buat Shopee 🤗🤩🤩🤩,1
145,"Aman terkendali,shopee sangat membantu saya sangat mecari barang yg saya inginkan, disinidangat murah"" Harganya cuma ongkirnya yg masih agak lebih mahal dati pada sebelah😁😁. Ayonmin harga murah dan murahkan juga ongkirnya",1
146,"Diantara online marketing,Shopee memang pilihan yang tepat dan terpecaya dan puas atas pelayananya",1
147,Parah nih aplikasi parah3!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Kok ada apalikasi sebagus ini?Buat kalian yang belum download aplikasi shopee ayo buruan download😍😍,1
148,Aplikasinya bagus sekali saya senang belanja di shopee di sana murah meriah ada yang gratis ongkir dan saya puas belanja di shopee,1
149,"Smoga kedepannya lebih baik,dan tentunya lbih bnyak free ongkir😂krna ke daerah saya ongkir sngat mahal,bisa lebih mahal dri barang yg mau di beli,..jdi tidak pernah bsa ikutan flash sale krna mahalan ongkir jdinya😁",1
150,Alhamdulillah aplikasi yang cukup memuaskan dan banyak diskonnya harga terjangkau!!,1
151,Tolong perbarui masalah gratis ongkir nya masak perhitungan jika dapet gratis ongkir min belanja 0 Pakek Shopee pay gk bisa karena ongkir nya mahal dan harga barang padahal bisa bayar pakek shope pay terkendala karena ketambahan ongkir jadi gk bisa dipakek,1
152,"Shopee masih yg terbaik buat belanja online.... Top banget..... Mantap pokonya buat shopee puas belanja disini.... Shopee makin top,makin Mantap yg saya rasakan pelayanannya semakin memuaskan... Ok banget,memuaskan sekali buat saya... Andaipun ada kendala,sekarang mungkin itu karna dari personil sellernya aj yg kurang sip dalam bekerja sama.... Maju terus shopee & pertahankan dlm pelayan,atau malah makin tingkatkan lagi...juoosss shopee......👍👍👍👍🥰🥰🥰🥰",1
153,Langganan..So far so goooood👍👍. Tingkatkan trs pelayanannya. Srg² disc yg rruar biassa😊. Smg sll mndptkn seller yg baik & amanah jg😇,1
154,aplikasi paling kejaaaam!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! bikin nagihhhh terus 😭😭,1
155,Sangat membantu kebutuhan dan belanja online..hanya saja kelemahan 1 yaitu untuk filter kota kurang detail dan hanya mencantumkan provinsi saja. Tolong direvisi ditambahi item nama kota pada filter,1
